"","Dim.1","Dim.2","Dim.3","Dim.4","Dim.5"
"W60",0.165426358422562,0.323884849756162,-0.490688799111564,0.274886311787026,0.10982951283131
"W63",0.411454718549926,-0.189212203796574,-0.0506042253670765,0.0247899518655554,-0.0204963591093113
"W67",0.426938745378716,-0.192569351693298,0.00682358755526714,0.0237693956125403,0.249942530118124
"W70",0.13626441818908,0.467110939113802,0.266498325739445,-0.302544078431239,-0.00811371587634054
"W73",0.182949126001786,0.256870924020211,0.31463771809219,0.66358379184388,-0.283368112595117
"W74",0.144564460753933,0.376993726445783,-0.453861257703034,0.189866338364096,0.240973962585907
"W78",0.385413813121474,-0.128162316307583,0.135909564688461,-0.2052541662904,0.275840665263204
"W80",0.180484443554135,0.366424963918531,-0.272603489830634,-0.483191029054589,-0.355684284227838
"W81",0.370337134639226,-0.256314273189025,-0.068069069108181,0.190757405306833,-0.0380780640257119
"W115",0.26249043938689,0.184421209545542,0.324126422523529,0.0203680111803538,-0.447911738175575
"W116",0.400386307994575,-0.0480971791422923,0.0460383653928687,-0.206682110633505,0.0173159725398826
"W118",-0.0254307517088459,0.378418364616355,0.419540130935656,0.0144503744652847,0.617770385359581
