"","RV","CDY","KY","HY","GI","GS","GO","NP","DC"
"1",0.96,0,1.26,0.8,1.1,0.78,0.02,0.06,0.24
"2",-0.3,0.23,0.4,0.64,-0.03,0.37,0.47,0.28,0.24
"3",0.88,0.11,-1.07,-0.0700000000000001,0.28,-0.23,0.5,0.35,-0.16
"4",-0.14,-0.13,1.56,-1.15,0.59,1.51,-0.39,-0.29,0.65
"5",0.22,0.35,0.95,0.65,-1.49,0.0800000000000001,0.24,0.6,0.22
"6",4.15,3.31,-0.29,2.73,4.55,0.61,1.5,-0.23,1.38
"7",-5.37,-4.23,-2.41,-2.77,-3.48,-1.73,-2.4,-0.59,-1.75
"8",0.46,0.63,0.28,1.72,-0.76,0.35,0.65,0.44,-0.61
"9",0.91,0.44,1.02,0.91,1.2,0.5,1.25,1.97,0.85
"10",-0.62,-1.01,-0.64,-2.12,-0.38,-1.11,-1.05,-2.23,-0.38
"11",-1.31,-1.07,-1.27,-1.48,-1.23,-0.8,-0.94,-0.46,-0.42
"12",1.21,0.63,0.7,0.58,0.39,0.395,0.15,0.21,0.14
"13",-0.83,-0.09,0.01,-0.07,0.26,0.395,0.16,-0.14,0
"14",0.26,-0.02,-0.17,0.74,-0.18,0.01,-0.14,0.08,0.04
"15",3.27,2.6,2.69,2.57,3,0.7,1.75,1.3,0.66
"16",0.25,1.47,0.63,-1.21,1.44,5.55,-0.93,-0.37,0.66
"17",-3.2,-3.89,-3.34,-1.64,-4.67,-5.49,-0.2,-0.39,-1.03
"18",1.36,2.79,3.78,1.18,1.74,-0.02,-0.14,-0.26,-0.51
"19",-0.19,0.04,-1.46,-1.18,-0.33,-0.97,0.54,0.65,0.25
"20",-0.00999999999999979,-1.2,1.2,1.39,0.0600000000000001,0.62,-0.61,-0.41,0.25
"21",-1.64,-0.4,-3.21,-0.7,-1.73,0.03,0.0900000000000001,-0.14,-0.51
"22",1.06,-1.1,0.35,-0.37,0.97,0.59,-0.1,0.18,0.75
"23",-0.76,-0.85,-1.26,-1.11,-1.44,-2.09,-0.44,-0.56,-0.79
"24",-0.76,0.27,-0.03,0.07,0.58,0.4,0.13,0.02,0.27
"25",-0.13,-0.25,0.17,-0.17,-0.56,-0.46,-0.005,-0.17,-0.01
"26",0.34,0.53,0.19,0.44,1.27,0.76,-0.005,0.09,0.1
"27",0.89,0.53,0.66,0.43,-0.21,1.52,0.94,0.6,0.07
"28",1.52,0.58,2.16,0.95,2.02,3.26,-0.63,-0.46,0.3
"29",-0.21,-0.71,-2.2,0.53,-1.48,-3.5,1.23,0.18,-0.18
"30",-1.59,-0.8,-0.76,-2.38,-0.87,-0.41,-1.46,-0.05,-0.0099999999999999
"31",2.33,4.43,1.23,0.64,1.92,1.72,1.36,0.09,1.03
