"","x"
"1",-503481
"2",822792.125
"3",84470867.167
"4",60823143.8
"5",472575081.2
"6",1272091612.5
"7",1498729542
"8",-2866677758.7
"9",-519965440.217
"10",-2038214.75
"11",-257039.083
"12",-63157.1670000004
"13",-503922.040999999
"14",824121.333
"15",10048860.625
"16",33957574.25
"17",386916333.75
"18",1829713975
"19",108963146
"20",-1849414850.2
"21",-518134019.258
"22",-2043954.375
"23",-255715.959000001
"24",-61831
"25",-507015.415999999
"26",825003.415999999
"27",59897902.212
"28",5680951.25
"29",489383483.33
"30",3641851983
"31",-2203264404
"32",-1633681599.8
"33",-357816851.742
"34",-2045280.541
"35",-253507.709000001
"36",-80382.125
"37",-505245.165999999
"38",823233.165999999
"39",90270601.587
"40",-74915313.17
"41",126030126.1
"42",1721566269.4
"43",1790210938
"44",-2282683234
"45",-1368427923.667
"46",-2043954.375
"47",-254389.790999999
"48",-57414.5
"49",-506130.292
"50",824559.333
"51",73550629.872
"52",3235968.34
"53",-31361134.59
"54",388462564.97
"55",2275886933.7
"56",-662911479
"57",-2044806720.458
"58",-2049697.042
"59",-254830.833
"60",-61389.9590000007
"61",-507456.458
"62",824118.292
"63",8087052.538
"64",81213242.17
"65",40505053.75
"66",2792211128
"67",-345530292
"68",-2244909383.5
"69",-329508552.792
"70",-2054113.541
"71",-258365.25
"72",-68014.7090000007
"73",-505689.25
"74",975605.459000001
"75",15247522.163
"76",192950254.22
"77",103944182.9
"78",3254308975.3
"79",-2565657088
"80",-943362118.58
"81",-54869716.962
"82",-2471472.791
"83",-484050.834000001
"84",1740542.042
"85",-720771.583
"86",1130624
"87",1013145.708
"88",23654342.08
"89",261200630.82
"90",2500388305.1
"91",-1962549033.8
"92",-710550914.2
"93",-110376730
"94",-2655198.583
"95",-490672.542
"96",-37543.2920000004
"97",-722979.833
"98",1131947.125
"99",2162320.833
"100",51655825.042
"101",32665766.25
"102",2071647533
"103",635086313
"104",-2096424341.8
"105",-629251878.78
"106",-67415664.253
"107",-489349.417
"108",-40189.5420000004
"109",-721656.708
"110",1132832.25
"111",20481077.71
"112",62290757.04
"113",7609185.42
"114",1696084403.08
"115",-1099719146
"116",1024932775
"117",-1637283541.67
"118",-74270081.372
"119",-489790.458
"120",-38422.3329999996
"121",-726517.292
"122",1135925.625
"123",28267820.42
"124",26500764.16
"125",65157944.62
"126",357910544.1
"127",2579107337.2
"128",-2698199537.2
"129",-350694034.84
"130",-7926294.377
"131",-488464.290999999
"132",208016.540999999
"133",-722097.75
"134",1168164.25
"135",22723330.497
"136",8796347.92
"137",11334071.25
"138",762376777.5
"139",915920962.5
"140",-1142812566.7
"141",-570992957.3
"142",-7136181.917
"143",-578117.415999999
"144",-70222.9590000007
"145",-725191.125
"146",18505138.047
"147",25580796.87
"148",28459050
"149",557109294.2
"150",5515616591.3
"151",-1975748041
"152",-4078005874.5
"153",-87359261.21
"154",-2777537.457
"155",-576353.25
