"","RVT","CDYT","KYT","HYT","GIT","GOT","NPT","DCT"
"1",6.2,6,5,4.6,6.6,6.6,6.2,9.2
"2",7.6,7.5,8.2,7.6,7.8,6.4,6.3,7.5
"3",8.1,6.4,7,7.2,7.6,10.3,11.6,7.3
"4",12.7,12.9,13.6,12.7,14,10.2,9.8,14.3
"5",5.7,6.59999999999999,6.2,5.60000000000001,6.2,7.7,8.59999999999999,4.90000000000001
"6",5.59999999999999,6,6.5,8.39999999999999,5.8,5.2,5.90000000000001,4.3
"7",2.5,1.2,1.89999999999999,0.600000000000009,1.60000000000001,3,2.59999999999999,2.5
"8",-12.1,-11.4,-11.4,-12.3,-10.2,-11.2,-13,-9.39999999999999
"9",-11.6,-11.9,-11.9,-11.8,-12.4,-14.7,-14.3,-11.9
"10",-27.7,-24.2,-25.7,-24.1,-26,-28.5,-27.9,-27.8
"11",-8.7,-8.3,-10.3,-6.2,-12,-6.7,-7,-15.8
"12",9.7,7.2,9.2,7.6,9.2,9.5,9.4,11.6
"13",-5.6,-4.4,-4.9,-5.3,-5.7,-7.1,-7.2,-5.7
"14",14.2,11.9,12.2,11.9,15,14.6,14.7,14.7
"15",16.7,16,18.3,13.6,18.1,17.6,14.7,18.9
"16",8.9,9.4,9.1,9.6,9.2,6.7,8.5,9.3
"17",9.2,8.5,8.2,9.6,8.7,11,10.6,7.59999999999999
"18",7.5,8.60000000000001,8.40000000000001,9.3,7.40000000000001,8.89999999999999,10,8.2
"19",-4.40000000000001,-3.80000000000001,-4.5,-3.7,-3.09999999999999,-4.39999999999999,-4.09999999999999,-1.5
"20",-9.69999999999999,-9.8,-10,-10.9,-11.1,-10.8,-10.7,-12.1
"21",-10.4,-12.5,-12.4,-12.6,-11.9,-10.4,-10.8,-12.1
"22",-8.9,-7.09999999999999,-6,-8,-6.1,-10.4,-9,-4.8
"23",-13.3,-12.2,-13.8,-11.9,-14.7,-13.1,-13.9,-16.8
"24",-0.699999999999996,-1.5,-1,-1.3,-1.6,0.700000000000003,0.899999999999999,-2.5
