"","W118","G65","DC_P","DC_T","Pumping"
"1",1508,4.177096774,0.1,27.8,5292734.208
"2",1507.862069,4.182068966,0.34,37,4789253.208
"3",1507,4.227419355,0.58,44.5,5612045.333
"4",1507,4.302666667,0.42,51.8,90082912.5
"5",1507,4.159677419,1.07,66.1,150906056.3
"6",1506.870968,4.114666667,1.29,71,623481137.5
"7",1507.53125,3.867741935,2.67,75.3,1895572750
"8",1508.344828,3.683870968,0.92,77.8,3394302292
"9",1507.233333,3.710666667,0.31,68.4,527624533.3
"10",1506.46875,3.840967742,1.16,56.5,7659093.083
"11",1506,4.022666667,0.78,28.7,5620878.333
"12",1506,4.081481481,0.36,12.9,5363839.25
"13",1505.4375,4.12625,0.5,24.5,5300682.083
"14",1505,4.02,0.5,18.8,4796760.042
"15",1506.896552,4.243225806,0.54,33.5,5620881.375
"16",1506,4.376,1.2,52.4,15669742
"17",1506.230769,4.882258065,1.86,61.7,49627316.25
"18",1506,4.353333333,0.83,69.3,436543650
"19",1507.551724,3.9,0.32,77.5,2266257625
"20",1507.4375,3.560645161,0.57,76,2375220771
"21",1506.866667,3.654666667,0.82,63.9,525805920.8
"22",1506,3.905806452,0.31,51.8,7671901.542
"23",1505.166667,4.035666667,1.06,47,5627947.167
"24",1505,4.171935484,0.27,30.2,5372231.208
"25",1505,4.161612903,0.54,27.7,5310400.208
"26",1504,4.004642857,0.53,28,4803384.792
"27",1504,4.023461538,0.63,30.2,5628388.208
"28",1504,4.09702991433333,0.7,50.4,65526290.42
"29",1504,4.17059829066667,1,57.5,71207241.67
"30",1504.266667,4.244166667,0.82,75,560590725
"31",1505.3125,3.816129032,0.81,78.9,4202442708
"32",1505.354839,3.757096774,1.84,73.5,1999178304
"33",1504.266667,3.812333333,0.44,65.9,365496704.2
"34",1504,3.964516129,1.15,44.2,7679852.458
"35",1503.5,4.042333333,0.2,35,5634571.917
"36",1503,4.082903226,0.01,30.7,5381064.208
"37",1503,4.125833333,0.4,22.4,5300682.083
"38",1503,3.972608696,0.75,22,4795436.917
"39",1503,4.035806452,0.58,37.9,5618670.083
"40",1502.225806,4.046666667,1.05,51,95889271.67
"41",1502,4.17516129,0.92,57.5,20973958.5
"42",1502.032258,4.553333333,1.35,67.1,147004084.6
"43",1503.741935,4.166774194,0.84,76.2,1868570354
"44",1504.419355,3.901290323,0.41,76,3658781292
"45",1503.7,3.993666667,2.92,60.7,1376098058
"46",1502.90625,4.146774194,0.56,53.8,7670134.333
"47",1502,4.323,0.9,34.8,5626179.958
"48",1502,4.381612903,0.24,29.2,5371790.167
"49",1502,4.003225806,0.7,18.7,5314375.667
"50",1502,3.941724138,0.33,21.7,4808245.375
"51",1501.483871,4.14483871,1.35,41.8,5632804.708
"52",1501,4.118333333,0.91,51.7,79183434.58
"53",1501,4.263548387,0.88,61.3,82419402.92
"54",1501,4.877333333,1.3,66.3,51058268.33
"55",1502.34375,4.489354839,0.78,71.3,439520833.3
"56",1503,4.069032258,0.36,69,2715407767
"57",1502.133333,4.091,0.93,69.2,2052496288
"58",1501.454545,4.216451613,0.24,53.5,7689567.542
"59",1501,4.3975,0.8,40.2,5639870.5
"60",1501,4.493333333,0.22,27.4,5385039.667
"61",1501,4.130322581,0.55,18,5323649.708
"62",1501,4.112142857,0.73,31.9,4816193.25
"63",1501,4.188387097,0.18,38.5,5640311.542
"64",1500.875,4.393,1.16,52.4,13727364.08
"65",1501,5.140322581,3.15,60.4,94940606.25
"66",1501,5.588666667,1.5,72.9,135445660
"67",1502,4.211,0.89,77.2,2927656788
"68",1501.939394,3.891111111,1.27,74.3,2582126496
"69",1501,4.096666667,0.93,68.7,337217112.5
"70",1501,4.153870968,0.52,53.8,7708559.708
"71",1500.366667,4.169666667,0.65,40.6,5654446.167
"72",1500,3.966451613,0.2,22.5,5396080.917
