"","W67","G45","KY_P","KY_T","Pumping"
"1",2045.679688,4.13,0.53,28.4,5292734.208
"2",2045.752069,4.120689655,1.79,33.4,4789253.208
"3",2045.836875,3.939032258,2.19,41.6,5612045.333
"4",2045.959677,3.678,1.12,48.6,90082912.5
"5",2046.076129,3.471935484,2.68,62.2,150906056.3
"6",2045.607419,3.262,3.63,68.4,623481137.5
"7",2042.917813,3.177419355,3.34,74.9,1895572750
"8",2041.450323,2.93483871,0.93,76.8,3394302292
"9",2040.798667,2.921333333,1.21,65.4,527624533.3
"10",2041.059688,3.095483871,2.23,53.5,7659093.083
"11",2041.108667,3.453333333,1.59,27.8,5620878.333
"12",2041.128387,3.946129032,0.32,17.5,5363839.25
"13",2041.216563,4.337096774,1.02,26.7,5300682.083
"14",2041.28,4.278571429,1.03,21.8,4796760.042
"15",2041.895313,3.61,0.86,34,5620881.375
"16",2042.18,3.586666667,3.55,52.3,15669742
"17",2042.817813,3.273225806,4.18,61.4,49627316.25
"18",2043.507813,2.851333333,0.84,69.6,436543650
"19",2041.849063,2.94516129,4.62,78,2266257625
"20",2041.0175,3.058064516,3.16,73.5,2375220771
"21",2041.129677,3.035333333,4.36,63.5,525805920.8
"22",2041.553125,2.908387097,1.15,51.1,7671901.542
"23",2041.647667,2.668,1.5,45.1,5627947.167
"24",2041.7475,3.356129032,0.24,31.3,5372231.208
"25",2041.840313,3.359310345,0.21,30.3,5310400.208
"26",2041.89931,3.670714286,0.38,30.3,4803384.792
"27",2042.015938,3.599677419,0.57,30.9,5628388.208
"28",2042.139032,2.899333333,1.23,49.7,65526290.42
"29",2042.293226,2.452903226,3.39,56.7,71207241.67
"30",2042.387667,2.415,1.19,75.8,560590725
"31",2040.054688,2.607419355,0.43,78.2,4202442708
"32",2038.095161,2.124193548,1.66,73.8,1999178304
"33",2037.844333,2.382333333,0.8,64.7,365496704.2
"34",2038.03125,2.459032258,2.36,45.8,7679852.458
"35",2038.133333,2.717,0.11,38.6,5634571.917
"36",2038.176129,2.933225806,0.03,32.1,5381064.208
"37",2038.070625,3.052580645,0.29,26.1,5300682.083
"38",2038.166786,3.110357143,0.7,25.5,4795436.917
"39",2038.167419,3.051290323,0.35,37.8,5618670.083
"40",2038.161613,2.930333333,4.02,51.2,95889271.67
"41",2038.343226,2.638064516,4.58,57.8,20973958.5
"42",2038.483548,2.149666667,3.28,67.7,147004084.6
"43",2037.575484,1.790967742,0.33,76.6,1868570354
"44",2036.009677,1.55,0.57,75.9,3658781292
"45",2034.881,1.679285714,2.2,61.5,1376098058
"46",2034.93,2.376451613,1.73,54.9,7670134.333
"47",2035.082333,2.706,0.56,35.6,5626179.958
"48",2035.165806,2.752258065,0.1,31.2,5371790.167
"49",2035.240625,2.996774194,0.55,21.8,5314375.667
"50",2035.314483,3.342413793,0.6,23.3,4808245.375
"51",2035.407419,2.831935484,2.68,42.9,5632804.708
"52",2035.531613,2.405666667,1.54,50.4,79183434.58
"53",2035.619355,2.085483871,3.07,61.6,82419402.92
"54",2035.588333,1.463214286,2.32,67,51058268.33
"55",2034.801875,1.804193548,4.82,71.6,439520833.3
"56",2033.42871,1.57483871,0.67,69,2715407767
"57",2032.543,1.59137931,4.75,67.7,2052496288
"58",2032.95697,2.541935484,1.26,53,7689567.542
"59",2033.375938,2.845333333,2.59,39.6,5639870.5
"60",2033.617879,3.064193548,0.02,30.1,5385039.667
"61",2033.843636,3.332580645,0.55,22.2,5323649.708
"62",2034.094,2.99,0.63,33.6,4816193.25
"63",2034.187273,2.879677419,2.05,38.8,5640311.542
"64",2034.359677,2.553,1.03,49.5,13727364.08
"65",2034.603939,2.213225806,3.61,59.4,94940606.25
"66",2035.210625,3.2525,6.21,71.3,135445660
"67",2034.708485,1.492903226,0.84,76.2,2927656788
"68",2033.689697,1.334482759,3.74,73.4,2582126496
"69",2033.790938,1.305666667,0.23,68.8,337217112.5
"70",2034.116364,1.827419355,2.47,54,7708559.708
"71",2034.3825,2.201666667,1.1,41.2,5654446.167
"72",2034.568947,3.20516129,0.32,25.6,5396080.917
"73",2034.704545,2.854193548,0.29,37.6,5328066.208
"74",2034.805,2.848571429,0.04,29.4,4822376.958
"75",2035.013846,2.948387097,2.77,36.3,5797982.417
"76",2035.132258,2.317,1.36,53.8,21045504.58
"77",2035.216563,1.602580645,1.46,62.1,213995758.8
"78",2035.201613,1.470333333,5.24,72.2,317939941.7
"79",2034.155758,1.291612903,2.68,76.1,3572248917
"80",2033.35875,1.848064516,8.18,72,1006591829
"81",2033.610968,1.754,4.56,59.5,63229710.42
"82",2033.964063,2.363870968,1.62,47.8,8359993.458
"83",2034.258065,2.355,0.62,36.9,5888520.667
