"","W70","G40","CDY_P","CDY_T","Pumping"
"1",2396.2975,3.938064516,1.39,29.9,5292734.208
"2",2396.305862,3.95,1.39,35.9,4789253.208
"3",2396.404375,3.872580645,1.62,43.4,5612045.333
"4",2396.086129,3.892,1.73,49.8,90082912.5
"5",2395.895161,4.33,1.6,62.7,150906056.3
"6",2395.995806,4.515,1.95,69.3,623481137.5
"7",2397.169063,4.716129032,5.26,75.3,1895572750
"8",2397.925484,4.224516129,1.03,76.5,3394302292
"9",2396.751333,3.505862069,1.66,65.1,527624533.3
"10",2395.927813,3.51120689658333,2.1,53.2,7659093.083
"11",2395.93,3.51655172416667,1.09,29,5620878.333
"12",2395.84,3.52189655175,0.02,20.7,5363839.25
"13",2395.6375,3.52724137933333,0.65,27.9,5300682.083
"14",2395.706897,3.53258620691667,0.56,23.5,4796760.042
"15",2396.525806,3.5379310345,0.54,35.4,5620881.375
"16",2397.213871,3.54327586208333,3.14,51.4,15669742
"17",2397.870938,3.54862068966667,4.61,60.8,49627316.25
"18",2396.917742,3.55396551725,0.72,69.3,436543650
"19",2397.678125,3.55931034483333,3.51,77.9,2266257625
"20",2398.138125,3.56465517241667,3.55,74.1,2375220771
"21",2397.335806,3.57,2.35,64.3,525805920.8
"22",2396.368438,3.577419355,1.95,51.8,7671901.542
"23",2395.971667,3.597,0.85,44.7,5627947.167
"24",2395.780938,3.634516129,0,32.5,5372231.208
"25",2395.71125,3.752580645,0.27,31,5310400.208
"26",2395.676667,3.638571429,0.02,31.4,4803384.792
"27",2395.729063,3.556451613,0.55,31.7,5628388.208
"28",2395.692258,3.504333333,1.08,51.8,65526290.42
"29",2395.405161,3.641290323,1.66,56.8,71207241.67
"30",2395.296667,3.866,0.95,75.4,560590725
"31",2396.173438,3.000322581,0.15,78.7,4202442708
"32",2396.475484,2.756129032,4.58,73.7,1999178304
"33",2395.754,2.194333333,0.12,65.7,365496704.2
"34",2395.148125,2.277741935,0.212,46.4,7679852.458
"35",2395.136333,2.336666667,0.304,40.8,5634571.917
"36",2395.043226,2.451612903,0.396,35.1,5381064.208
"37",2394.906875,2.54483871,0.488,29.4,5300682.083
"38",2395.015714,3.043928571,0.58,27.6,4795436.917
"39",2395.143548,3.017096774,1.66,40.2,5618670.083
"40",2395.063871,3.059333333,4.36,52.6,95889271.67
"41",2395.457097,3.527419355,2.37,59,20973958.5
"42",2395.540968,3.937241379,5.72,68.1,147004084.6
"43",2396.432258,4.021612903,0.44,77,1868570354
"44",2395.754194,4.019310345,0.9,75.2,3658781292
"45",2395.255667,2.102105263,1.43,63.7,1376098058
"46",2394.545938,2.022258065,1.16,56.5,7670134.333
"47",2394.415667,2.044,0.88,37.2,5626179.958
"48",2394.397097,1.980967742,0.01,33,5371790.167
"49",2394.29125,1.936774194,0.03,23.9,5314375.667
"50",2394.258966,1.944827586,0.87,25.8,4808245.375
"51",2394.441935,2.280967742,1.71,44.7,5632804.708
"52",2394.281935,2.116666667,0.77,49.8,79183434.58
"53",2394.060323,3.357419355,1.84,61.8,82419402.92
"54",2393.751667,3.452758621,2.87,67.1,51058268.33
"55",2395.160313,4.276774194,6.19,72.1,439520833.3
"56",2395.394839,4.268387097,0.61,69,2715407767
"57",2395.380667,2.942,3.93,68,2052496288
"58",2395.169091,2.150645161,0.87,53.6,7689567.542
"59",2395.126875,2.380333333,2.06,40.4,5639870.5
"60",2395.200303,3.057096774,0,32.2,5385039.667
"61",2395.22,3.103870968,0.155,22.6,5323649.708
"62",2395.262667,3.182142857,0.31,31.6,4816193.25
"63",2395.391515,3.124516129,2.62,40.6,5640311.542
"64",2395.70375,3.522666667,1.5,50.3,13727364.08
"65",2396.070909,4.631935484,2.84,59.8,94940606.25
"66",2397.08375,4.702,5.03,70.6,135445660
"67",2396.653333,4.1564,0.3,75.7,2927656788
"68",2396.162727,4.696842105,5.27,72.9,2582126496
"69",2395.904412,3.201,1.27,69.2,337217112.5
"70",2395.167576,2.531612903,1.39,52.3,7708559.708
"71",2394.99375,2.476333333,0.4,41.9,5654446.167
"72",2394.919394,2.826774194,0.04,25.9,5396080.917
"73",2394.990303,3.141935484,0,38.8,5328066.208
"74",2394.916667,3.457857143,0.14,28.4,4822376.958
"75",2394.946667,3.498709677,2.07,39,5797982.417
"76",2395.062581,4.082333333,1.05,54.3,21045504.58
"77",2394.57375,4.211290323,0.99,64.1,213995758.8
