"","W74","G42","GO_P","GO_T","Pumping"
"1",2479.66871,4.795927505,0.16,42.1,5292734.208
"2",2479.52,6.24773495,0.18,48.7,4789253.208
"3",2479.100938,5.337178845,0.65,55.1,5612045.333
"4",2478.879,4.992115397,1.15,65.4,90082912.5
"5",2478.190968,3.978221381,0.76,75.6,150906056.3
"6",2477.632258,3.513386667,1,83.3,623481137.5
"7",2477.868125,4.068750471,2.5,88.5,1895572750
"8",2477.565806,3.364792285,0.1,91.5,3394302292
"9",2477.645333,3.719248554,0.75,80.3,527624533.3
"10",2477.761563,3.993558746,2,65.6,7659093.083
"11",2478.128387,3.611676073,0.95,37.1,5620878.333
"12",2478.174516,4.16149278,0.01,30.4,5363839.25
"13",2478.169355,5.495773088,0.16,39.9,5300682.083
"14",2478.189655,6.050179854,0.32,32.8,4796760.042
"15",2478.52,4.690222633,0.18,47.4,5620881.375
"16",2478.7,5.165360658,1.93,65,15669742
"17",2478.044839,3.673333333,1,71.7,49627316.25
"18",2477.238387,3.755333333,0.8,82.7,436543650
"19",2478.03,3.982580645,0.66,91.6,2266257625
"20",2477.83,4.110322581,1.2,87.2,2375220771
"21",2477.700333,4.171333333,0.59,76.4,525805920.8
"22",2477.767813,4.089354839,0.68,66,7671901.542
"23",2478.124516,3.775333333,0.58,55.6,5627947.167
"24",2478.231613,4.270645161,0.14,42.5,5372231.208
"25",2478.125484,4.080322581,0.27,43.2,5310400.208
"26",2478.187143,4.083214286,0.265,49,4803384.792
"27",2478.273125,4.377419355,0.26,45.8,5628388.208
"28",2478.008065,3.773,1.2,66.7,65526290.42
"29",2477.271563,3.316451613,0.57,70.3,71207241.67
"30",2477.302667,3.317,1.8,89,560590725
"31",2478.192188,3.699677419,0.34,93.1,4202442708
"32",2477.401935,3.148064516,1.7,86.8,1999178304
"33",2477.777333,3.741,0.28,78.5,365496704.2
"34",2477.845313,3.654193548,0.62,53.5,7679852.458
"35",2478.037333,3.554333333,0.05,51.3,5634571.917
"36",2478.046129,3.797916667,0.06,46,5381064.208
"37",2478.093125,3.982142857,0.07,41.5,5300682.083
"38",2478.18,3.7975,0.25,37.1,4795436.917
"39",2478.239545,3.738064516,0.3,56.4,5618670.083
"40",2478.354839,3.608333333,1.47,63.2,95889271.67
"41",2477.908065,3.541290323,1.62,70.7,20973958.5
"42",2477.42625,3.317333333,1.6,79.1,147004084.6
"43",2477.42,3.122580645,0.42,90.8,1868570354
"44",2477.38375,3.013225806,1.3,88.8,3658781292
"45",2477.708065,3.153,0.53,75.8,1376098058
"46",2477.952188,3.156774194,0.15,70.2,7670134.333
"47",2478.08871,3.248333333,0.68,48.1,5626179.958
"48",2478.163438,3.595769231,0.01,42,5371790.167
"49",2478.198387,3.671290323,0.14,36.1,5314375.667
"50",2478.253793,4.323448276,1.04,38.9,4808245.375
"51",2478.378387,3.710322581,0.21,58.1,5632804.708
"52",2478.229,3.409333333,0.76,65.7,79183434.58
"53",2477.628065,3.07516129,0.54,76,82419402.92
"54",2477.541667,2.974666667,1.3,78.3,51058268.33
"55",2477.573333,3.215483871,1.07,85.1,439520833.3
"56",2477.73,3.093225806,0.65,81.8,2715407767
"57",2477.887333,3.093666667,1.92,81,2052496288
"58",2478.298438,3.516774194,0.47,64.6,7689567.542
"59",2478.343667,3.741,0.87,49.7,5639870.5
"60",2478.406774,3.799642857,0.505,44.3,5385039.667
"61",2478.428065,4.360740741,0.14,34.2,5323649.708
"62",2478.488929,3.834285714,0.27,49.2,4816193.25
"63",2478.564194,3.786774194,1.7,55.6,5640311.542
"64",2478.501667,3.952333333,0.86,63.8,13727364.08
"65",2477.718387,3.513548387,1.78,73.7,94940606.25
"66",2478.114688,4.344666667,1.72,83.9,135445660
"67",2477.456452,2.92516129,1.35,92,2927656788
"68",2477.674848,3.035806452,1.11,87.5,2582126496
"69",2477.666154,3.073666667,0.05,84,337217112.5
"70",2478.104,3.563225806,0.83,66.1,7708559.708
"71",2478.174063,3.643333333,0.46,56.9,5654446.167
"72",2478.297742,3.72125,0.13,37.6,5396080.917
"73",2478.419697,3.863870968,0.05,53.4,5328066.208
"74",2478.346333,3.619411765,0.01,44.3,4822376.958
"75",2478.482727,3.965,0.61,50.2,5797982.417
"76",2478.137333,3.624615385,0.88,71.1,21045504.58
"77",2477.447813,2.865416667,0.46,79,213995758.8
"78",2477.478065,2.799333333,1.12,88.9,317939941.7
"79",2477.568387,2.781612903,1.37,92.8,3572248917
"80",2477.633438,2.904193548,1,85.9,1006591829
"81",2478.035806,3.083,0.8,73.1,63229710.42
"82",2478.244063,3.681935484,0.57,62.2,8359993.458
"83",2478.344194,3.677,0.08,51,5888520.667
"84",2478.409677,3.703870968,1.21,42.9,5404469.833
"85",2478.546563,3.714,0.58,30.8,7145011.875
"86",2478.735517,4.554615385,0.95,40.9666666666667,6424240.292
"87",2479.08625,4.471935484,0.6,51.1333333333333,7554864.292
"88",2479.073333,4.43037037,1.35,61.3,8568010
"89",2478.599688,3.867727273,3.58,75.4,32222352.08
"90",2478.690645,4.622857143,1.15,82.3,293422982.9
"91",2477.847778,4.216774194,1.9,88.8,2793811288
"92",2477.84,3.884482759,0.65,89.8,831262254.2
"93",2477.9359375,3.22,1.32,79.2,120711340
"94",2478.031875,3.768,0.71,67.9,10334610
"95",2478.137742,3.930344828,0.01,56.2,7679411.417
"96",2478.199688,4.191290323,0.23,34.3,7188738.875
"97",2478.306452,4.422903226,0.01,36.9,7151195.583
"98",2478.436774,4.45137931,0.27,43.8,6428215.75
"99",2478.570625,4.408709677,0.5,53.2,7560162.875
"100",2478.812903,4.512,1.51,59.2,9722483.708
"101",2479.004839,5.006451613,5.33,70.7,61378308.75
"102",2478.538065,4.429333333,3.25,81,94044075
"103",2477.934375,4.321290323,1.7,87.5,2165691608
"104",2477.780938,4.006129032,1.47,81.7,2800777921
"105",2478.078667,3.676666667,0.38,76.1,704353579.2
"106",2478.585938,4.622903226,1.75,63.8,75101700.42
"107",2478.78129,4.705666667,0.26,51.6,7686036.167
"108",2478.680645,4.531290323,0.15,36.4,7196686.75
"109",2478.627813,4.792258065,0.1,43.4,7156497.208
"110",2478.826207,4.598928571,0.59,45.6,6434840.5
"111",2478.737742,4.343225806,0.18,53.9,7567672.75
