"","W78","G49","GI_P","GI_T","Pumping"
"1",1911.284375,2.579354839,0.25,28.1,5292734.208
"2",1911.227586,2.623103448,1.35,34.7,4789253.208
"3",1911.196875,2.561290323,1.32,42.5,5612045.333
"4",1911.148387,2.361,1.6,50.1,90082912.5
"5",1911.109677,2.136129032,2.19,64.1,150906056.3
"6",1910.793548,1.943333333,0.7,70.3,623481137.5
"7",1909.696875,1.826774194,5.25,76.1,1895572750
"8",1909.090323,1.542258065,1.77,77.7,3394302292
"9",1908.46,1.543333333,1.01,67.5,527624533.3
"10",1908.330769,1.765806452,2.21,55.1,7659093.083
"11",1908.19,2.079,1.83,29.1,5620878.333
"12",1908.067742,2.501612903,0.6,17.1,5363839.25
"13",1908.0125,3.286774194,0.99,26.3,5300682.083
"14",1907.965517,3.313928571,1.25,20.6,4796760.042
"15",1908.3,2.842258065,1.07,35.6,5620881.375
"16",1908.622581,2.246333333,4.07,53.7,15669742
"17",1909.0125,2.103548387,5.51,62.9,49627316.25
"18",1909.306452,1.632666667,0.84,71.6,436543650
"19",1908.55,1.593548387,2.58,79,2266257625
"20",1907.375,1.747741935,2.25,75.9,2375220771
"21",1906.787097,1.816333333,2.31,64.8,525805920.8
"22",1906.68125,1.843225806,0.58,52.9,7671901.542
"23",1906.606667,1.574,1.55,46.8,5627947.167
"24",1906.528125,2.022258065,0.11,32.1,5372231.208
"25",1906.5,2.193870968,0.69,30.5,5310400.208
"26",1906.458621,2.406071429,0.13,31.4,4803384.792
"27",1906.45625,2.137142857,1.4,32,5628388.208
"28",1906.432258,1.661666667,1.19,51.7,65526290.42
"29",1906.419355,1.522903226,3.21,58.8,71207241.67
"30",1906.31,1.252333333,1.73,76.9,560590725
"31",1905.403125,1.183225806,0.86,80.2,4202442708
"32",1903.278125,0.987916667,2.78,74.8,1999178304
"33",1902.4,3.240666667,2.61,66.5,365496704.2
"34",1902.246875,3.409032258,2.43,45.9,7679852.458
"35",1902.206667,3.348666667,0.09,39.1,5634571.917
"36",1902.270968,3.622258065,0.02,33,5381064.208
"37",1902.303125,3.806129032,0.63,25.3,5300682.083
"38",1902.375,3.939642857,1.32,25.8,4795436.917
"39",1902.4,3.793,0.57,41.3,5618670.083
"40",1902.4,3.64,3.36,51.9,95889271.67
"41",1902.529032,3.739677419,4.06,58.7,20973958.5
"42",1902.745161,3.382666667,3.57,68.4,147004084.6
"43",1902.183871,2.701612903,0.22,77.9,1868570354
"44",1900.806452,1.692222222,1.01,76.7,3658781292
"45",1900.166667,1.54,2.47,62.4,1376098058
"46",1899.9,2.4560714285,0.64,55.9,7670134.333
"47",1899.873333,3.372142857,0.34,37.4,5626179.958
"48",1899.916129,3.691935484,0.17,31.5,5371790.167
"49",1900,3.69,0.6,21.9,5314375.667
"50",1900.072414,4.579130435,1.72,24,4808245.375
"51",1900.16129,3.650967742,1.77,44.5,5632804.708
"52",1900.2,3.278,1.04,52.9,79183434.58
"53",1900.209677,3.10516129,2.23,63.5,82419402.92
"54",1900.033333,2.633181818,1.2,68.1,51058268.33
"55",1899.4125,2.861935484,4.7,72.2,439520833.3
"56",1898.725806,2.27,0.81,70.5,2715407767
"57",1898.043333,2.417419355,3.67,69.4,2052496288
"58",1897.933333,2.56483871,1.08,53.3,7689567.542
"59",1898.0375,3.459,2,40,5639870.5
"60",1898.172727,3.695172414,0.07,31.1,5385039.667
"61",1898.287879,4.167931034,0.76,21.5,5323649.708
"62",1898.453333,3.891785714,0.86,34.5,4816193.25
"63",1898.560606,3.61483871,1.54,40.9,5640311.542
"64",1898.66875,3.642666667,1.76,51.8,13727364.08
"65",1900.060606,3.64516129,8.51,61.1,94940606.25
"66",1901.155882,3.885333333,4.11,72.7,135445660
"67",1900.233333,2.747096774,2.51,77.3,2927656788
"68",1898.909091,2.329677419,3.77,73.8,2582126496
"69",1898.7,2.748666667,1.1,69.7,337217112.5
"70",1898.721212,2.931612903,2.49,55,7708559.708
"71",1898.84,3.282666667,0.99,41.9,5654446.167
"72",1898.927273,3.773448276,0.47,26.4,5396080.917
"73",1899.060606,3.429677419,0.18,38.4,5328066.208
"74",1899.163333,3.3875,0.07,30.6,4822376.958
"75",1899.257576,3.518064516,3.26,37.9,5797982.417
"76",1899.370968,3.452333333,2.41,55.9,21045504.58
"77",1899.409091,2.834516129,1.16,64.6,213995758.8
"78",1899.332258,2.621666667,4.07,74.8,317939941.7
"79",1898.5375,2.047741935,1.49,79.5,3572248917
"80",1897.75625,2.427419355,3.44,74.6,1006591829
"81",1897.706452,2.875,4.75,62,63229710.42
"82",1897.85625,3.278387097,1.17,49.6,8359993.458
"83",1898.054839,3.451,0.21,38.6,5888520.667
"84",1898.225,3.691071429,1.76,32.4,5404469.833
"85",1898.36875,3.84,0.62,23.3,7145011.875
"86",1898.427586,4.645,0.56,24.3,6424240.292
"87",1898.615625,3.978709677,2.2,47.2,7554864.292
"88",1898.787097,4.098333333,4.62,49.6,8568010
"89",1899.35,3.842258065,7.13,64.8,32222352.08
