AgencyCd,SiteNo,CasingDepthFrom,CasingDepthFromUnit,CasingDepthTo,CasingDepthToUnit,CasingMaterial,CasingDiameter,CasingDiameterUnit
"USGS",403954099152101,0,feet,10,feet,"PVC or Plastic",2,"in"
"USGS",404233100132301,0.0,feet,250,feet,"PVC or Plastic",5,"in"
"USGS",404343099272901,0,feet,18,feet,"PVC or Plastic",4,"in"
"USGS",404717099460501,0.0,feet,15.,feet,"PVC or Plastic",5.,"in"
"USGS",405014099591001,-3.10,feet,10,feet,"PVC or Plastic",2,"in"
"USGS",405129099090201,-0.6,feet,130,feet,"PVC or Plastic",5,"in"
"USGS",405445100074001,0.0,feet,13.,feet,"PVC or Plastic",5.,"in"
"USGS",405632098373501,0.0,feet,25.,feet,"PVC or Plastic",5.,"in"
"USGS",410154099394701,0.0,feet,78.,feet,"PVC or Plastic",5.,"in"
"USGS",410618098113401,-0.7,feet,15.,feet,"PVC or Plastic",5.,"in"
"USGS",410943097575001,-0.9,feet,14.,feet,"PVC or Plastic",5.,"in"
"USGS",411738097264301,0,feet,20,feet,"PVC or Plastic","","Unknown"
"USGS",413130100531202,-3,feet,120,feet,"PVC or Plastic",2.50,"in"
"UNLCSD",10,0,feet,115,feet,"Steel","unknown","Unknown"
"UNLCSD",29,0,feet,40,feet,"PVC","unknown","Unknown"
