"AgencyCd","SiteNo","LithologyID","LithologyDescription","LithologyControlledConcept","Uom","LithologyDepthFrom","LithologyDepthFromUnit","LithologyDepthTo","LithologyDepthToUnit"
"USGS","403954099152101","USGS.403954099152101.1.","Sand & Gravel","SAND, GRAVEL","Unknown","0","feet","2.5","feet"
"USGS","403954099152101","USGS.403954099152101.2.","Sand","SAND","Unknown","2.5","feet","28","feet"
"USGS","404343099272901","USGS.404343099272901.1.","Sand & Silt","SAND, SILT","Unknown","0","feet","5","feet"
"USGS","404343099272901","USGS.404343099272901.2.","Sand & Silt","SAND, SILT","Unknown","5","feet","10","feet"
"USGS","404343099272901","USGS.404343099272901.3.","Sand & Silt","SAND, SILT","Unknown","10","feet","22.5","feet"
"USGS","404343099272901","USGS.404343099272901.4.","Sand & Silt","SAND, SILT","Unknown","22.5","feet","30","feet"
"USGS","404343099272901","USGS.404343099272901.5.","Sand & Silt","SAND, SILT","Unknown","30","feet","33","feet"
"USGS","404343099272901","USGS.404343099272901.6.","Sand","SAND","Unknown","33","feet","35","feet"
"USGS","404717099460501","USGS.404717099460501.1.","Soil","SOIL","Unknown","0","feet","1.5","feet"
"USGS","404717099460501","USGS.404717099460501.2.","Clay","CLAY","Unknown","1.5","feet","3.0","feet"
"USGS","404717099460501","USGS.404717099460501.3.","Sand","SAND","Unknown","3.0","feet","5.0","feet"
"USGS","404717099460501","USGS.404717099460501.4.","Sand & Gravel","SAND, GRAVEL","Unknown","5.0","feet","10.0","feet"
"USGS","404717099460501","USGS.404717099460501.5.","Gravel","GRAVEL","Unknown","10.0","feet","11.0","feet"
"USGS","404717099460501","USGS.404717099460501.6.","Sand & Gravel","SAND, GRAVEL","Unknown","11.0","feet","15.0","feet"
"USGS","404717099460501","USGS.404717099460501.7.","Sand & Gravel","SAND, GRAVEL","Unknown","15.0","feet","18.0","feet"
"USGS","404717099460501","USGS.404717099460501.8.","Sand & Gravel","SAND, GRAVEL","Unknown","18.0","feet","20.0","feet"
"USGS","405014099591001","USGS.405014099591001.1.","Soil","SOIL","Unknown","0","feet","2.5","feet"
"USGS","405014099591001","USGS.405014099591001.2.","Sand","SAND","Unknown","2.5","feet","5.0","feet"
"USGS","405014099591001","USGS.405014099591001.3.","Sand","SAND","Unknown","5.0","feet","10.0","feet"
"USGS","405014099591001","USGS.405014099591001.4.","Sand & Gravel","SAND, GRAVEL","Unknown","10.0","feet","20.0","feet"
"USGS","405129099090201","USGS.405129099090201.1.","Soil","SOIL","Unknown","0","feet","3.0","feet"
"USGS","405129099090201","USGS.405129099090201.2.","Clay","CLAY","Unknown","3.0","feet","10.0","feet"
"USGS","405129099090201","USGS.405129099090201.3.","Clay","CLAY","Unknown","10.0","feet","15.0","feet"
"USGS","405129099090201","USGS.405129099090201.4.","Clay","CLAY","Unknown","15.0","feet","25.5","feet"
"USGS","405129099090201","USGS.405129099090201.5.","Silt","SILT","Unknown","25.5","feet","28.0","feet"
"USGS","405129099090201","USGS.405129099090201.6.","Silt","SILT","Unknown","28.0","feet","35.0","feet"
"USGS","405129099090201","USGS.405129099090201.7.","Silt","SILT","Unknown","35.0","feet","40.0","feet"
"USGS","405129099090201","USGS.405129099090201.8.","Silt","SILT","Unknown","40.0","feet","45.0","feet"
"USGS","405129099090201","USGS.405129099090201.9.","Silt","SILT","Unknown","45.0","feet","49.0","feet"
"USGS","405129099090201","USGS.405129099090201.10.","Silt","SILT","Unknown","49.0","feet","55.0","feet"
"USGS","405129099090201","USGS.405129099090201.11.","Silt","SILT","Unknown","55.0","feet","57.5","feet"
"USGS","405129099090201","USGS.405129099090201.12.","Silt","SILT","Unknown","57.5","feet","60.0","feet"
"USGS","405129099090201","USGS.405129099090201.13.","Silt","SILT","Unknown","60.0","feet","63.0","feet"
"USGS","405129099090201","USGS.405129099090201.14.","Sand","SAND","Unknown","63.0","feet","64.5","feet"
"USGS","405129099090201","USGS.405129099090201.15.","Silt","SILT","Unknown","64.5","feet","73.0","feet"
"USGS","405129099090201","USGS.405129099090201.16.","Sand","SAND","Unknown","73.0","feet","75.0","feet"
"USGS","405129099090201","USGS.405129099090201.17.","Clay","CLAY","Unknown","75.0","feet","83.0","feet"
"USGS","405129099090201","USGS.405129099090201.18.","Sand","SAND","Unknown","83.0","feet","85.0","feet"
"USGS","405129099090201","USGS.405129099090201.19.","Silt","SILT","Unknown","85.0","feet","101.0","feet"
"USGS","405129099090201","USGS.405129099090201.20.","Sand","SAND","Unknown","101.0","feet","105.0","feet"
