AgencyCd,SiteNo,ScreenDepthFrom,ScreenDepthFromUnit,ScreenDepthTo,ScreenDepthToUnit,holeSize,holeSizeUnit,ScreenMaterial,ScreenDiameter,ScreenDiameterUnit
"USGS",403954099152101,10,feet,30,feet,"","","PVC, Fbrgls/Plst",2,"in"
"USGS",404233100132301,250,feet,500,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",404343099272901,18,feet,33,feet,"","","PVC, Fbrgls/Plst",4,"in"
"USGS",404717099460501,15,feet,19.5,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",405014099591001,10,feet,20,feet,"","","PVC, Fbrgls/Plst",2,"in"
"USGS",405129099090201,130,feet,150,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",405445100074001,13,feet,23,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",405632098373501,25,feet,124,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",410154099394701,78,feet,98,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",410618098113401,15,feet,20,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",410943097575001,14,feet,19,feet,"","","PVC, Fbrgls/Plst",5.,"in"
"USGS",411738097264301,20.0,feet,51,feet,"","","PVC, Fbrgls/Plst","","Unknown"
"USGS",413130100531202,120,feet,130,feet,"","","PVC, Fbrgls/Plst","","Unknown"
"UNLCSD",10,115,feet,120,feet,"","","","","Unknown"
"UNLCSD",29,42,feet,46,feet,"","","#12 PVC","","Unknown"
