Date,W60,W63,W67,W70,W73,W74,W78,W80,W81,W115,W116,W118
Jan-00,8.658709677,14.0296875,14.7503125,6.8125,11.21,6.451290323,12.1259375,4.225625,19.2128125,6.258125,5.9346875,17.045
Feb-00,8.733,14.01965517,14.67793103,6.804137931,11.41827586,6.6,12.17241379,4.057586207,19.05172414,6.288275862,5.97,17.37068966
Mar-00,8.86375,14.0259375,14.593125,6.705625,11.5934375,7.0190625,12.2140625,3.8975,18.959375,6.2846875,5.8615625,17.6804
Apr-00,8.993333333,14.01903226,14.47032258,7.023870968,11.77774194,7.241,12.26387097,4.345806452,18.85677419,6.298387097,5.785483871,17.95
May-00,9.336875,14.23741935,14.35387097,7.21483871,11.74096774,7.929032258,12.29354839,4.431935484,18.79806452,6.378387097,5.841935484,18.21129032
Jun-00,9.56,14.76548387,14.82258065,7.114193548,11.34806452,8.487741935,12.60096774,5.155806452,20.4915,6.422258065,5.9,18.30129032
Jul-00,9.6465625,15.6496875,17.5121875,5.9409375,11.63125,8.251875,13.705625,3.885625,26.64142857,6.2084375,7.47,17.5115625
Aug-00,9.8934375,17.26548387,18.97967742,5.184516129,10.73032258,8.554193548,14.31677419,4.600322581,28.94935484,6.456451613,,16.73896552
Sep-00,9.887333333,17.25933333,19.63133333,6.358666667,10.12733333,8.474666667,14.93966667,5.695666667,28.03166667,6.715555556,,17.794
Oct-00,9.89625,17.1353125,19.3703125,7.1821875,10.9359375,8.3584375,15.10076923,5.535625,27.6,7.735,8.793636364,18.5215625
Nov-00,9.448387097,16.97333333,19.32133333,7.18,11.22966667,7.991612903,15.22166667,3.948666667,27.344,7.975333333,8.316666667,18.936
Dec-00,9.0053125,16.75076923,19.3016129,7.27,11.45129032,7.945483871,15.32967742,4.096129032,27.13806452,8.269354839,7.938387097,19.24741935
1-Jan,9.170967742,16.51758621,19.2134375,7.4725,11.6415625,7.950645161,15.389375,4.204375,26.7371875,8.5359375,7.8215625,19.52125
1-Feb,8.770344828,16.32241379,19.15,7.403103448,11.845,7.930344828,15.4462069,4.122413793,26.36857143,8.704137931,7.67862069,19.69310345
1-Mar,9.164375,15.55612903,18.5346875,6.584193548,11.3384375,7.6,15.10548387,3.548709677,25.244375,8.280645161,7.253548387,18.09103448
1-Apr,9.269333333,15.12548387,18.25,5.896129032,10.6336,7.42,14.78258065,3.452903226,24.39625,7.645806452,6.359032258,19.12115385
1-May,9.57,14.3178125,17.6121875,5.2390625,9.4303125,8.07516129,14.38875,3.9165625,22.57,6.7190625,4.94375,18.84230769
1-Jun,10.17516129,13.91741935,16.9221875,6.192258065,9.186129032,8.881612903,14.09806452,4.633548387,22.00333333,6.7059375,4.620322581,18.7816
1-Jul,9.9021875,16.1059375,18.5809375,5.431875,11.8184375,8.09,14.854375,4.1590625,29.282,7.063125,5.409545455,17.54689655
1-Aug,9.811935484,17.140625,19.4125,4.971875,9.965625,8.29,16.03125,3.91625,30.31294118,6.61625,7.626,17.586875
1-Sep,9.900967742,17.08483871,19.30032258,5.774193548,9.200645161,8.419666667,16.61548387,4.799677419,29.84,6.903225806,8.302580645,18.38533333
1-Oct,10.0103125,16.639375,18.876875,6.7415625,10.156875,8.3521875,16.7321875,5.011875,29.24689655,7.8228125,8.001875,19.18225806
1-Nov,10.18903226,16.50766667,18.78233333,7.138333333,10.74366667,7.995483871,16.792,4.87,28.90466667,8.406333333,7.828666667,19.62966667
1-Dec,9.430322581,16.365625,18.6825,7.3290625,11.115625,7.888387097,16.8709375,4.5009375,28.5790625,8.7665625,7.47375,19.970625
2-Jan,9.496875,16.2290625,18.5896875,7.39875,11.4171875,7.994516129,16.9146875,4.48,28.27875,9.03625,7.2690625,20.2275
2-Feb,9.451034483,16.1762069,18.53068966,7.433333333,11.73482759,7.932857143,16.94137931,4.375862069,28.01,9.228275862,7.173448276,20.58
2-Mar,9.4534375,16.0784375,18.4140625,7.3809375,11.944375,7.846875,16.95625,4.290625,27.6471875,9.3628125,7.0178125,20.78
2-Apr,10.07548387,16.0916129,18.29096774,7.417741935,12.15516129,8.111935484,16.96419355,4.503870968,27.33322581,9.435806452,6.835483871,20.95222222
2-May,10.4746875,16.20548387,18.13677419,7.70483871,12.32645161,8.8484375,16.98387097,4.786774194,26.98903226,9.307741935,5.881290323,21.04774194
2-Jun,10.47466667,16.64333333,18.04233333,7.813333333,12.53566667,8.817333333,17.103,5.626666667,27.29233333,9.337666667,5.202666667,20.65533333
2-Jul,10.238125,19.56125,20.3753125,6.9365625,14.49424242,7.9278125,18.0025,4.39173913,31.6128125,9.18625,7.476521739,19.686875
2-Aug,10.79032258,20.45387097,22.33483871,6.634516129,13.41548387,8.718064516,20.119375,4.46,33.21709677,8.760322581,9.284193548,19.53258065
