"","W60","W63","W67","W70","W73","W74","W78","W80","W81","W115","W116","W118"
"1",2200.451613,2282.330313,2045.679688,2396.2975,2410.71,2479.66871,1911.284375,2541,1932,1765.231875,1667.225313,1508
"2",2200.376667,2282.340345,2045.752069,2396.305862,2410.501724,2479.52,1911.227586,2541,1932,1765.201724,1667.19,1507.862069
"3",2200.2375,2282.334063,2045.836875,2396.404375,2410.326563,2479.100938,1911.196875,2541,1932,1765.205313,1667.298438,1507
"4",2200.11,2282.340968,2045.959677,2396.086129,2410.142258,2478.879,1911.148387,2540.774194,1932,1765.191613,1667.374516,1507
"5",2199.7625,2282.122581,2046.076129,2395.895161,2410.179032,2478.190968,1911.109677,2540.548387,1932,1765.111613,1667.318065,1507
"6",2199.551613,2281.594516,2045.607419,2395.995806,2410.571935,2477.632258,1910.793548,2539.83871,1930.5,1765.067742,1667.26,1506.870968
"7",2199.453125,2280.710313,2042.917813,2397.169063,2410.28875,2477.868125,1909.696875,2541.125,1924.333333,1765.281563,1665.69,1507.53125
"8",2199.209375,2279.094516,2041.450323,2397.925484,2411.189677,2477.565806,1909.090323,2540.451613,1922,1765.033548,1665.248788,1508.344828
"9",2199.213333,2279.100667,2040.798667,2396.751333,2411.792667,2477.645333,1908.46,2539.166667,1922.966667,1764.774444,1664.807576,1507.233333
"10",2199.20625,2279.224688,2041.059688,2395.927813,2410.984063,2477.761563,1908.330769,2539.34375,1923.28125,1763.755,1664.366364,1506.46875
"11",2199.654839,2279.386667,2041.108667,2395.93,2410.690333,2478.128387,1908.19,2541.033333,1923.8,1763.514667,1664.843333,1506
"12",2200.096875,2279.609231,2041.128387,2395.84,2410.46871,2478.174516,1908.067742,2541,1924,1763.220645,1665.221613,1506
"13",2199.935484,2279.842414,2041.216563,2395.6375,2410.278438,2478.169355,1908.0125,2541,1924.03125,1762.954063,1665.338438,1505.4375
"14",2200.337931,2280.037586,2041.28,2395.706897,2410.075,2478.189655,1907.965517,2541,1924.857143,1762.785862,1665.481379,1505
"15",2199.940625,2280.803871,2041.895313,2396.525806,2410.581563,2478.52,1908.3,2541.516129,1925.6875,1763.209355,1665.906452,1506.896552
"16",2199.833333,2281.234516,2042.18,2397.213871,2411.2864,2478.7,1908.622581,2541.483871,1926.75,1763.844194,1666.800968,1506
"17",2199.5375,2282.042188,2042.817813,2397.870938,2412.489688,2478.044839,1909.0125,2541.03125,1928,1764.770938,1668.21625,1506.230769
"18",2198.932258,2282.442581,2043.507813,2396.917742,2412.733871,2477.238387,1909.306452,2540.419355,1928.916667,1764.784063,1668.539677,1506
"19",2199.196875,2280.254063,2041.849063,2397.678125,2410.101563,2478.03,1908.55,2540.90625,1921.65,1764.426875,1667.750455,1507.551724
"20",2199.296774,2279.219375,2041.0175,2398.138125,2411.954375,2477.83,1907.375,2541,1920.764706,1764.87375,1665.534,1507.4375
"21",2199.203226,2279.275161,2041.129677,2397.335806,2412.719355,2477.700333,1906.787097,2540.064516,1921,1764.586774,1664.857419,1506.866667
"22",2199.090625,2279.720625,2041.553125,2396.368438,2411.763125,2477.767813,1906.68125,2540,1922,1763.667188,1665.158125,1506
"23",2198.925806,2279.852333,2041.647667,2395.971667,2411.176333,2478.124516,1906.606667,2540,1922,1763.083667,1665.331333,1505.166667
"24",2199.664516,2279.994375,2041.7475,2395.780938,2410.804375,2478.231613,1906.528125,2540.65625,1922.21875,1762.723438,1665.68625,1505
"25",2199.60625,2280.130938,2041.840313,2395.71125,2410.502813,2478.125484,1906.5,2540.741935,1922.9375,1762.45375,1665.890938,1505
"26",2199.665517,2280.183793,2041.89931,2395.676667,2410.185172,2478.187143,1906.458621,2541,1923,1762.261724,1665.986552,1504
"27",2199.640625,2280.281563,2042.015938,2395.729063,2409.975625,2478.273125,1906.45625,2541,1923.21875,1762.127188,1666.142188,1504
"28",2199.035484,2280.268387,2042.139032,2395.692258,2409.764839,2478.008065,1906.432258,2540.580645,1923.903226,1762.054194,1666.324516,1504
"29",2198.63125,2280.154516,2042.293226,2395.405161,2409.593548,2477.271563,1906.419355,2540.16129,1924,1762.182258,1667.27871,1504
"30",2198.636667,2279.716667,2042.387667,2395.296667,2409.384333,2477.302667,1906.31,2539.3,1923.566667,1762.152333,1667.957333,1504.266667
"31",2198.875,2276.79875,2040.054688,2396.173438,2407.425758,2478.192188,1905.403125,2540.73913,1919.40625,1762.30375,1665.683478,1505.3125
"32",2198.309677,2275.906129,2038.095161,2396.475484,2408.504516,2477.401935,1903.278125,2540.473684,1917.83871,1762.729677,1663.875806,1505.354839
"33",2198.551613,2276.461667,2037.844333,2395.754,2410.466667,2477.777333,1902.4,2539.5,1918,1762.064333,1663.495333,1504.266667
"34",2198.678125,2276.693438,2038.03125,2395.148125,2409.813125,2477.845313,1902.246875,2539.15625,1918,1759.43875,1663.775938,1504
"35",2198.886667,2276.938,2038.133333,2395.136333,2409.438,2478.037333,1902.206667,2540,1918.866667,1758.008333,1663.990333,1503.5
"36",2198.970968,2277.079677,2038.176129,2395.043226,2409.129032,2478.046129,1902.270968,2540,1919,1757.824516,1664.219032,1503
"37",2199.007143,2277.197188,2038.070625,2394.906875,2408.819375,2478.093125,1902.303125,2540,1919,1757.732813,1664.331563,1503
"38",2199.196552,2277.314643,2038.166786,2395.015714,2408.626429,2478.18,1902.375,2540,1919,1757.726429,1664.414286,1503
"39",2199.077419,2277.378065,2038.167419,2395.143548,2408.493226,2478.239545,1902.4,2540.064516,1919,1757.749677,1664.542581,1503
"40",2199.135484,2277.445161,2038.161613,2395.063871,2408.388065,2478.354839,1902.4,2540.548387,1919.096774,1757.765806,1664.611935,1502.225806
"41",2198.880645,2277.687419,2038.343226,2395.457097,2409.094839,2477.908065,1902.529032,2541.16129,1920,1758.275484,1666.021935,1502
"42",2198.390625,2278.173226,2038.483548,2395.540968,2410.129032,2477.42625,1902.745161,2540.818182,1920,1759.384839,1667.080645,1502.032258
"43",2198.170968,2276.833226,2037.575484,2396.432258,2408.612258,2477.42,1902.183871,2539.363636,1918.258065,1758.29,1666.913333,1503.741935
"44",2197.94375,2275.340645,2036.009677,2395.754194,2408.494839,2477.38375,1900.806452,2539.032258,1916.032258,1761.193548,1663.611667,1504.419355
"45",2197.906452,2274.921667,2034.881,2395.255667,2409.302333,2477.708065,1900.166667,2539,1915,1760.783667,1663.538667,1503.7
"46",2198.274194,2275.115,2034.93,2394.545938,2408.879375,2477.952188,1899.9,2539,1915.34375,1757.974,1664.202188,1502.90625
"47",2198.722581,2275.350333,2035.082333,2394.415667,2408.519333,2478.08871,1899.873333,2539,1916,1756.622,1664.395333,1502
"48",2198.90625,2275.59871,2035.165806,2394.397097,2408.240323,2478.163438,1899.916129,2539.75,1916,1756.313871,1664.486129,1502
"49",2199.009677,2275.749688,2035.240625,2394.29125,2407.995,2478.198387,1900,2540,1916.53125,1756.24375,1664.523125,1502
"50",2199.196552,2275.89,2035.314483,2394.258966,2407.814138,2478.253793,1900.072414,2540,1917,1756.244828,1664.59069,1502
"51",2199.129032,2276.015484,2035.407419,2394.441935,2407.914839,2478.378387,1900.16129,2540,1917,1756.2485,1665.252903,1501.483871
"52",2198.736667,2276.088387,2035.531613,2394.281935,2407.773548,2478.229,1900.2,2540.032258,1917,1756.355833,1665.794194,1501
"53",2198.477419,2276.116774,2035.619355,2394.060323,2407.495806,2477.628065,1900.209677,2540,1917,1756.396774,1666.044516,1501
"54",2197.83,2275.683226,2035.588333,2393.751667,2407.584,2477.541667,1900.033333,2539.566667,1916.966667,1756.002667,1666.215333,1501
"55",2198.167742,2275.075313,2034.801875,2395.160313,2407.866316,2477.573333,1899.4125,2539.59375,1915.84375,1755.285714,1666.097813,1502.34375
"56",2197.825,2273.903226,2033.42871,2395.394839,2409.353478,2477.73,1898.725806,2539.096774,1914.032258,1754.515556,1665.300323,1503
"57",2197.82,2273.4175,2032.543,2395.380667,2410.003667,2477.887333,1898.043333,2539.266667,1913,1755.45,1665.0751615,1502.133333
"58",2198.690625,2273.9,2032.95697,2395.169091,2410.009394,2478.298438,1897.933333,2540,1913.727273,1755.505455,1664.85,1501.454545
"59",2198.94,2274.28,2033.375938,2395.126875,2409.73375,2478.343667,1898.0375,2540,1914,1755.210625,1665.022188,1501
"60",2199.029032,2274.47,2033.617879,2395.200303,2409.679697,2478.406774,1898.172727,2540,1914.909091,1755.215455,1665.441515,1501
"61",2199.177419,2274.676154,2033.843636,2395.22,2409.488788,2478.428065,1898.287879,2540,1915,1755.303939,1665.65697,1501
"62",2199.089286,2274.775,2034.094,2395.262667,2409.288333,2478.488929,1898.453333,2540,1915,1755.441333,1665.776,1501
"63",2199.025806,2274.926667,2034.187273,2395.391515,2409.151818,2478.564194,1898.560606,2540.30303,1915.818182,1755.549697,1666.046364,1501
"64",2198.603333,2275.05129,2034.359677,2395.70375,2409.468125,2478.501667,1898.66875,2541,1916,1755.68625,1666.624688,1500.875
"65",2198.235484,2275.244848,2034.603939,2396.070909,2409.941818,2477.718387,1900.060606,2540.424242,1916,1760.568182,1667.993333,1501
"66",2199.13871,2275.635,2035.210625,2397.08375,2411.729375,2478.114688,1901.155882,2541.285714,1916.970588,1763.114688,1668.848125,1501
"67",2197.545161,2274.992727,2034.708485,2396.653333,2411.066061,2477.456452,1900.233333,2539.15,1915.666667,1762.100303,1668.112308,1502
"68",2197.354839,2274.023333,2033.689697,2396.162727,2411.255,2477.674848,1898.909091,2539.181818,1914.030303,1761.302857,1665.6092,1501.939394
"69",2197.273333,2274.179375,2033.790938,2395.904412,2410.598462,2477.666154,1898.7,2539,1914.0625,1760.837188,1665.825625,1501
"70",2197.515625,2274.433636,2034.116364,2395.167576,2409.897576,2478.104,1898.721212,2539,1915,1758.811515,1665.948182,1501
"71",2198.009677,2274.704063,2034.3825,2394.99375,2409.3575,2478.174063,1898.84,2539.3125,1915,1758.055,1665.941563,1500.366667
"72",2198.858065,2274.926364,2034.568947,2394.919394,2409.03,2478.297742,1898.927273,2540,1915.969697,1757.843333,1665.962083,1500
"73",2198.88125,2275.108788,2034.704545,2394.990303,2408.839697,2478.419697,1899.060606,2540,1916,1757.750909,1666.058485,1500
"74",2198.763333,2275.264333,2034.805,2394.916667,2408.654333,2478.346333,1899.163333,2540,1916,1757.672667,1666.055333,1500
"75",2198.890625,2275.36303,2035.013846,2394.946667,2408.5,2478.482727,1899.257576,2540,1916,1757.633636,1666.197273,1500
"76",2198.346667,2275.473871,2035.132258,2395.062581,2408.604194,2478.137333,1899.370968,2540.37037,1916.483871,1757.812903,1667.755806,1500
"77",2197.75,2275.353125,2035.216563,2394.57375,2408.050938,2477.447813,1899.409091,2539.5,1917,1758.020313,1667.9475,1500
"78",2197.493548,2275.019032,2035.201613,2394.055806,2407.779032,2477.478065,1899.332258,2539,1916.709677,1757.632581,1667.817586,1500
"79",2197.364516,2274.194688,2034.155758,2395.55,2407.186875,2477.568387,1898.5375,2539,1915,1755.545313,1666.5425,1501.71875
"80",2197.971875,2273.336875,2033.35875,2395.609688,2409.957813,2477.633438,1897.75625,2539,1914,1754.6425,1665.312778,1502
"81",2197.648387,2273.486129,2033.610968,2395.412258,2410.838065,2478.035806,1897.706452,2539,1914.354839,1755.37129,1665.517097,1501.032258
"82",2198.01875,2273.853438,2033.964063,2394.9225,2409.8025,2478.244063,1897.85625,2539,1915,1756.090625,1666.2275,1501
"83",2197.922581,2274.051,2034.258065,2394.828387,2409.337419,2478.344194,1898.054839,2539,1915,1756.280968,1666.24871,1501
"84",2198.741935,2274.244063,2034.489688,2394.955313,2409.100625,2478.409677,1898.225,2539.71875,1915.3125,1756.351875,1666.266875,1501
"85",2199.140625,2274.421875,2034.676563,2395.119375,2408.889063,2478.546563,1898.36875,2540,1916,1756.41375,1666.860938,1500.6875
"86",2199.582759,2274.498333,2034.86931,2395.50069,2409.158276,2478.735517,1898.427586,2540.344828,1916,1756.537931,1666.998621,1500.551724
"87",2199.33125,2274.994286,2035.094063,2396.653125,2410.28,2479.08625,1898.615625,2541,1916,1757.023125,1667.168125,1501.09375
"88",2199.22,2275.152903,2035.378387,2397.908065,2410.982258,2479.073333,1898.787097,2541.16129,1916,1757.514194,1667.79,1501
"89",2198.859375,2275.382813,2036.01875,2398.347813,2412.062188,2478.599688,1899.35,2541.09375,1916.84375,1759.375,1669.050938,1501
"90",2199.229032,2275.716129,2037.293548,2398.794516,2413.780645,2478.690645,1900.148387,2541.16129,1917,1762.280968,1670.321786,1502.12
"91",2198.803704,2275.221875,2036.854688,2398.347813,2413.905,2477.847778,1900.209375,2540.375,1916.6875,1762.36875,1669.012069,1503.5625
"92",2198.9,2275.122813,2036.919063,2398.58875,2414.530313,2477.84,1900.46875,2539.84375,1916.90625,1762.156875,1668.069688,1504.0625
"93",2198.635484,2275.225484,2037.183548,2397.47871,2412.950645,2477.9359375,1900.832258,2539.322581,1917.419355,1761.926774,1667.961613,1503.483871
"94",2198.370968,2275.5175,2037.729063,2396.961875,2411.884688,2478.031875,1901.059375,2539.5625,1918,1761.86875,1668.559,1503.53125
"95",2198.464516,2275.864839,2038.214194,2396.764516,2411.255806,2478.137742,1901.280645,2540,1918.483871,1761.897742,1669.02129,1504
"96",2198.590625,2276.220313,2038.604688,2396.639375,2410.787188,2478.199688,1901.503125,2540,1919,1761.857813,1668.870938,1504
"97",2198.893548,2276.462188,2038.844375,2396.594688,2410.433438,2478.306452,1901.675,2540,1919,1761.833125,1668.831212,1503.28125
"98",2199.173333,2276.691667,2039.052667,2396.558,2410.147,2478.436774,1901.856667,2540,1919.7,1761.922,1668.717333,1503.266667
"99",2198.88125,2276.85625,2039.216875,2396.52,2409.91125,2478.570625,1902.059375,2540,1920,1762.264688,1668.900938,1504.1875
"100",2199.016129,2276.969375,2039.394516,2396.983548,2409.829355,2478.812903,1902.109091,2540.967742,1920,1762.536774,1669.414516,1503
"101",2198.818182,2277.129063,2039.677813,2398.773438,2411.894688,2479.004839,1902.3,2541.4375,1920,1763.107188,1670.354688,1504.03125
"102",2198.506667,2278.843548,2041.826452,2399.608065,2414.92,2478.538065,1903.7,2541.258065,1924,1768.17,1671.010769,1506.967742
"103",2198.44375,2278.778148,2043.933125,2398.494688,2414.514375,2477.934375,1905.906452,2540.96875,1921.705882,1766.294688,1670.257188,1507.09375
"104",2198.365625,2278.425625,2042.760625,2397.719375,2414.491563,2477.780938,1905.21875,2540.15625,1919.875,1765.062813,1669.587813,1507.964286
"105",2197.566667,2278.36129,2041.949032,2397.165161,2414.276774,2478.078667,1904.474194,2540,1919.451613,1764.430323,1668.583438,1507.12
"106",2198.4125,2278.901875,2042.581563,2397.765313,2413.430385,2478.585938,1904.444118,2540.28125,1920.21875,1764.50375,1668.965938,1507.16129
"107",2198.921875,2279.771935,2043.667419,2398.236129,2413.89129,2478.78129,1904.796774,2541,1921.387097,1765.162903,1669.969355,1507.193548
"108",2198.641935,2280.259375,2043.915625,2397.830938,2413.025938,2478.680645,1904.98125,2541,1922.0625,1765.125625,1669.605625,1506.625
"109",2199.00625,2280.688438,2044.12,2397.750313,2412.346563,2478.627813,1905.175,2541,1922.65625,1765.095313,1669.270625,1506
"110",2198.858621,2280.925,2044.245172,2397.716552,2411.83069,2478.826207,1905.293103,2541,1923,1765.204828,1669.241379,1506
"111",2198.664516,2280.99,2044.460938,2397.647813,2411.495484,2478.737742,1905.459375,2541,1923.129032,1765.144063,1669.290938,1506
"112",2199.103226,2281.142,2044.627742,2397.696452,2411.232258,2479.09871,1905.583871,2541.032258,1923.741935,1765.182581,1669.28375,1505.387097
"113",2198.475,2281.140313,2044.744063,2397.445,2411.902188,2477.64625,1905.665625,2541.03125,1924,1765.290313,1669.454375,1505
"114",2198.851613,2281.21129,2044.925161,2397.372581,2413.417742,2478.731613,1906.274194,2541,1924.833333,1765.922258,1670.06871,1505.478261
"115",2198.467742,2281.265,2043.677188,2398.122813,2413.409063,2478.079032,1906.621875,2540.875,1923.84375,1766.068125,1669.137188,1506.90625
"116",2197.99375,2277.538667,2041.67129,2398.437692,2413.7,2477.924688,1906.134375,2540.9375,1922,1765.574688,1667.589688,1507.625
