Ravenna (RV),Canaday steam plant (CDY),Kearney 4 (KY),Hayes Center 1NW (HY), Grand Island Central NE Regional AP (GI),Gresham 3W (GS),Gothenberg (GO),North Platte Exp Farm,David City
0.41,,0.53,0.17,0.25,0.18,0.16,0.12,0.1
1.37,1.39,1.79,0.97,1.35,0.96,0.18,0.18,0.34
1.07,1.62,2.19,1.61,1.32,1.33,0.65,0.46,0.58
1.95,1.73,1.12,1.54,1.6,1.1,1.15,0.81,0.42
1.81,1.6,2.68,0.39,2.19,2.61,0.76,0.52,1.07
2.03,1.95,3.63,1.04,0.7,2.69,1,1.12,1.29
6.18,5.26,3.34,3.77,5.25,3.3,2.5,0.89,2.67
0.81,1.03,0.93,1,1.77,1.57,0.1,0.3,0.92
1.27,1.66,1.21,2.72,1.01,1.92,0.75,0.74,0.31
2.18,2.1,2.23,3.63,2.21,2.42,2,2.71,1.16
1.56,1.09,1.59,1.51,1.83,1.31,0.95,0.48,0.78
0.25,0.02,0.32,0.03,0.6,0.51,0.01,0.02,0.36
1.46,0.65,1.02,0.61,0.99, ,0.16,0.23,0.5
0.63,0.56,1.03,0.54,1.25,1.3,0.32,0.09,0.5
0.89,0.54,0.86,1.28,1.07,1.31,0.18,0.17,0.54
4.16,3.14,3.55,3.85,4.07,2.01,1.93,1.47,1.2
4.41,4.61,4.18,2.64,5.51,7.56,1,1.1,1.86
1.21,0.72,0.84,1,0.84,2.07,0.8,0.71,0.83
2.57,3.51,4.62,2.18,2.58,2.05,0.66,0.45,0.32
2.38,3.55,3.16,1,2.25,1.08,1.2,1.1, 
2.37,2.35,4.36,2.39,2.31,1.7,0.59,0.69,0.82
0.73,1.95,1.15,1.69,0.58,1.73,0.68,0.55,0.31
1.79,0.85,1.5,1.32,1.55,2.32,0.58,0.73,1.06
,0,0.24,0.21,0.11,0.23,0.14,0.17,0.27
0.27,0.27,0.21,0.28,0.69,0.63,0.27,0.19,0.54
0.14,0.02,0.38,0.11,0.13,0.17, ,0.02,0.53
0.48,,0.57,0.55,1.4,0.93,0.26,0.11,0.63
1.37,1.08,1.23,0.98,1.19,2.45,1.2,0.71,0.7
2.89,1.66,3.39,1.93,3.21,5.71,0.57,0.25,1
2.68,0.95,1.19,2.46,1.73,2.21,1.8,0.43,0.82
1.09,0.15,0.43,0.08,0.86,1.8,0.34,0.38,0.81
3.42,4.58,1.66,0.72,2.78,3.52,1.7,0.47,1.84
1.3,0.12,0.8,0.57,2.61,0.88,0.28,0.84,0.44
2.76,,2.36,1.96,2.43,3.53,0.62,0.52,1.15
,,0.11,0.17,0.09,0.14,0.05,0.02,0.2
0.02,,0.03,0,0.02,0.03, , ,0.01
0.39,,0.29,0.27,0.63,0.4,0.07,0.07,0.4
0.48,0.58,0.7,0.83,1.32,1.14,0.25,0.18,0.75
0.48,1.66,0.35,1.4,0.57,1.16,0.3,0.39,0.58
4.6,4.36,4.02,5.12,3.36,2.81,1.47,0.95,1.05
4.18,2.37,4.58,0.93,4.06,3.11,1.62,0.54,0.92
5.77,5.72,3.28,3.58,3.57,4.95,1.6,0.99,1.35
0.46,0.44,0.33,0.83,0.22,1.26,0.42,0.66,0.84
0.49,0.9,0.57,1.89,1.01,0.47,1.3,0.37,0.41
1.62,1.43,2.2,0.72,2.47,6.01,0.53,0.58,2.92
0.8,1.16,1.73,0.2,0.64,0.98,0.15,0.62,0.56
1.3,0.88,0.56,0.53,0.34,0.96,0.68,0.56,0.9
0.06,0.01,0.1,0.15,0.17,0.15,0.01,0.02,0.24
0.29,0.03,0.55,0.43,0.6,0.8,0.14,0.16,0.7
0.96,,0.6,0.55,1.72,0.48,1.04, ,0.33
2.39,1.71,2.68,1.28,1.77,3.06,0.21,0.8,1.35
1.93,0.77,1.54,2.03,1.04,1.03,0.76,0.75,0.91
3.13,1.84,3.07,1.15,2.23,4.42,0.54,0.6,0.88
3.2,2.87,2.32,3.1,1.2,1.95,1.3,1.96,1.3
6.4,6.19,4.82,8.62,4.7,2.7,1.07,1.53,0.78
1.03,0.61,0.67,1.11,0.81,0.94,0.65,1.01,0.36
,3.93,4.75,2.16,3.67,2.18,1.92,0.77,0.93
0.96,0.87,1.26,1.7,1.08,0.8,0.47,0.45,0.24
5.82,2.06,2.59,1.27,2,2.63,0.87,0.57,0.8
,0,0.02,0.07,0.07,0.21, ,0.04,0.22
0.22,,0.55,0.47,0.76,1.15,0.14,0.27,0.55
0.69,0.31,0.63,0.1,0.86,1.46,0.27,0.11,0.73
2.48,2.62,2.05,2.91,1.54,1.13,1.7,0.59,0.18
1.44,1.5,1.03,1.43,1.76,6.38,0.86,0.9,1.16
2.11,2.84,3.61,2.89,8.51,4.53,1.78,1.77,3.15
,5.03,6.21,3.68,4.11,3.05,1.72,1.17,1.5
0.26,0.3,0.84,2.47,2.51,1.17,1.35,0.7,0.89
4.97,5.27,3.74,3.25,3.77,2.44,1.11,1.39,1.27
0.63,1.27,0.23,1.33,1.1,0.46,0.05,0.48,0.93
2.21,1.39,2.47,2.11,2.49,2.48,0.83,0.48,0.52
0.79,0.4,1.1,0.85,0.99,1.2,0.46,0.33,0.65
0.23,0.04,0.32,0.27,0.47,0.44,0.13,0.1,0.2
0.24,0,0.29,0.14,0.18,0.35,0.05,0.15,0.3
,0.14,0.04,0.19,0.07,0.05,0.01,0.08,0.15
2.9,2.07,2.77,1.14,3.26,2.98,0.61,0.63,0.54
1.69,1.05,1.36,0.61,2.41,2.8,0.88,0.94,0.68
0.7,0.99,1.46,0.85,1.16,1.27,0.46,0.3,0.9
3.82,3.6,5.24,3.21,4.07,1.68,1.12,1.73,1.35
3.86,1.43,2.68,3.18,1.49,1.21,1.37,0.82,0.46
6.16,5.76,8.18,2.78,3.44,8.5,1,1.26,1.45
4.3,2.42,4.56,3.62,4.75,4.22,0.8,1.79,3.23
1.47,1.83,1.62,1.17,1.17,0.74,0.57,0.7,0.24
0.62,0.04,0.62,0.04,0.21,0.42,0.08,0.05,0.17
1.79,3.32,2.85,2.92,1.76,2.35,1.21,1.1,0.86
0.96,0.68,0.42,0.57,0.62,0.67,0.58,0.32,0.4
0.77,,0.37,0.54,0.56,0.77,0.95,0.43,0.84
2.74,2.58,2.75,2.17,2.2,2.25,0.6,1.5,0.91
2.4,,5.44,,4.62,5.39,1.35,1.55,2.01
3.65,,4.82,,7.13,3.23,3.58,3.34,0.94
2.05,3.99,1.69,2.65,2.87,1.9,1.15,1.35,1.35
3.68,4.47,4.2,2.9,8.99,3.21,1.9,1.17,1.64
4.07,,3.74,2.15,4.49,8.93,0.65,0.19,3.34
1.96,2.46,2.1,1.34,1.92,2.55,1.32,1.03,0.85
3.05,1.71,3.54,0.54,3.91,4.76,0.71,0.75,1.27
,,0.01,0.11, ,0.08,0.01,0.01,0.04
1.34,,1.27,0.89,1.38,1.54,0.23,0.2,0.73
0.01,0,0.04,0.05,0.34,0.3,0.01, ,0.27
0.2,0.2,0.14,0.06,0.29,0.56,0.27,0.09,0.45
0.46,0.5,0.85,0.55,0.71,1.15,0.5,0.6,0.34
3.86,2.99,3.41,2.55,3.42,4.02,1.51,1.38,0.91
9.74,,8.74,4.02,9.04,6.67,5.33,1.51,2.44
7.84,5.37,7.23,2.68,9.85,7.33,3.25,0.84,3.1
4.07,3.36,3.68,,2.63,7.46,1.7,0.62,1.71
1.01,1.27,0.8,3.12,1.07,1.37,1.47,0.92,0.61
3.21,1.38,1.38,2.84,1.51,2.95,0.38,0.46,0.66
7.63,6.2,9.36,4.67,5.99,6.33,1.75,1.68,2.05
0.58,0.35,0.5,0.56,1.52,1.49,0.26,0.22,0.75
0.99,0.42,0.35,0.18,0.68,0.48,0.15,0.15,0.56
0.23,0.08,0.07,0.24,0.3,0.27,0.1,0.09,0.13
0.64,0.69,0.3,0.8,0.88,0.62,0.59,0.22,0.36
,0.01,0.02,,0.14,0.87,0.18,0.13,0.45
2.68,2.24,2.39,2.75,2.56,2.05,0.95,1.08,0.88
2.5,2.1,2.66,4.78,2.05,4.77,1.5,1.12,1.23
11.22,4.5,4.96,3.62,8.27,5.92,1,0.96,1.7
1.18,2.47,1.04,4.45,2.7,1.54,1.9,0.97,0.77
4.88,3.45,2.79,2.73,2.4,6.8,1.35,1.19,2.2
2.99,1.79,2.07,2.28,0.96,2.11,0.65,0.86,0.38
4.07,4.98,4.53,3.36,3.39,3.99,1.65,0.94,1.68
0.19,0.13,0.13,0.29,0.17,1.03,0.03,0.08,0.43
0.71,0.63,,0.53,1.76,1.57,0.42,0.19,0.72
0.35,0.19,0.03,0.08,0.54,0.74,0.06,0.08,0.31
0.71,0.54,0.67,0.53,0.66,0.72,0.17,0.21,0.44
1.69,1.89,1.84,2.16,2.53,1.88,0.75,1.07,0.77
1.67,2.87,3.22,2.92,1.94,2.84,0.75,1.28,0.5
3.54,3.46,3.36,3.17,4.24,2.34,1.23,0.7,0.49
8.76,7.71,5.28,5.9,8.77,8.37,3.54,1.28,2.68
6.29,2.31,4.61,2.92,4.1,3.03,1.58,1.15,1.68
3.32,2.52,3.47,3.57,3.87,2.22,1.82,1.19,3.69
1.59,0.7,1.02,1.49,1.66,1.68,1.48,0.64,1.03
0.74,0.6,0.34,0.71,0.3,0.61,0.97,0.37,0.49
0.31,0.44,0.93,0.63,0.44,0.63,0.4,0.43,0.43
0.32,0.15,0.14,0.18,0.24,0.14,0.29,0.26,0.14
,0.64,0.86,0.29,1.49,0.64,0.52,0.32,0.7
,0.28,0.12,0.51,0.28,0.48,0.36,0.34,0.19
,0.58,0.9,0.57,1.02,0.86,0.28,0.14,0.4
,3.41,3.45,2.51,2.93,3.72,0.67,0.93,1.36
,3.84,7.53,5.27,8.7,5.46,1.75,1.69,3
,3.64,4.51,6.98,1.72,3.84,0.68,2.11,1.23
,3.91,4.07,3.32,4.37,4.33,0.9,1.17,0.55
1.44,5.28,3.72,4.84,2.3,5.84,1,0.74,2.97
0.66,0.84,0.65,0.7,0.83,0.39,0.58,0.45,0.2
6.18,3.83,4.92,1.09,2.2,1.51,1.7,1.91,0.52
0.12,,0.33,0.08,0.21,0.68,0.05,0.05,0.37
0.84,0.59,0.39,0.2,1.11,1.29,0.32,0.08,0.6
