"","G40","G42","G45","G49","G51","G53","G65"
"1",3.938064516,4.795927505,4.13,2.579354839,4.456774194,4.669354839,4.177096774
"2",3.95,6.24773495,4.120689655,2.623103448,4.493103448,4.745769231,4.182068966
"3",3.872580645,5.337178845,3.939032258,2.561290323,4.521111111,4.646451613,4.227419355
"4",3.892,4.992115397,3.678,2.361,4.496333333,4.515,4.302666667
"5",4.33,3.978221381,3.471935484,2.136129032,4.428387097,4.308709677,4.159677419
"6",4.515,3.513386667,3.262,1.943333333,4.157,3.956666667,4.114666667
"7",4.716129032,4.068750471,3.177419355,1.826774194,3.492258065,3.828064516,3.867741935
"8",4.224516129,3.364792285,2.93483871,1.542258065,3.311290323,3.447419355,3.683870968
"9",3.505862069,3.719248554,2.921333333,1.543333333,3.301724138,3.380344828,3.710666667
"10",3.51120689658333,3.993558746,3.095483871,1.765806452,3.32208799828571,3.44531609233333,3.840967742
"11",3.51655172416667,3.611676073,3.453333333,2.079,3.34245185857143,3.51028735666667,4.022666667
"12",3.52189655175,4.16149278,3.946129032,2.501612903,3.36281571885714,3.575258621,4.081481481
"13",3.52724137933333,5.495773088,4.337096774,3.286774194,3.38317957914286,3.64022988533333,4.12625
"14",3.53258620691667,6.050179854,4.278571429,3.313928571,3.40354343942857,3.70520114966667,4.02
"15",3.5379310345,4.690222633,3.61,2.842258065,3.42390729971429,3.770172414,4.243225806
"16",3.54327586208333,5.165360658,3.586666667,2.246333333,3.44427116,3.83514367833333,4.376
"17",3.54862068966667,3.673333333,3.273225806,2.103548387,3.46463502028571,3.90011494266667,4.882258065
"18",3.55396551725,3.755333333,2.851333333,1.632666667,3.48499888057143,3.965086207,4.353333333
"19",3.55931034483333,3.982580645,2.94516129,1.593548387,3.50536274085714,4.03005747133333,3.9
"20",3.56465517241667,4.110322581,3.058064516,1.747741935,3.52572660114286,4.09502873566667,3.560645161
"21",3.57,4.171333333,3.035333333,1.816333333,3.54609046142857,4.16,3.654666667
"22",3.577419355,4.089354839,2.908387097,1.843225806,3.56645432171429,3.894193548,3.905806452
"23",3.597,3.775333333,2.668,1.574,3.586818182,3.526666667,4.035666667
"24",3.634516129,4.270645161,3.356129032,2.022258065,3.593225806,4.161612903,4.171935484
"25",3.752580645,4.080322581,3.359310345,2.193870968,3.59,4.491612903,4.161612903
"26",3.638571429,4.083214286,3.670714286,2.406071429,3.593571429,4.588571429,4.004642857
"27",3.556451613,4.377419355,3.599677419,2.137142857,3.671612903,4.270645161,4.023461538
"28",3.504333333,3.773,2.899333333,1.661666667,3.747,3.721,4.09702991433333
"29",3.641290323,3.316451613,2.452903226,1.522903226,3.96516129,3.608387097,4.17059829066667
"30",3.866,3.317,2.415,1.252333333,4.020333333,3.220333333,4.244166667
"31",3.000322581,3.699677419,2.607419355,1.183225806,3.881034483,1.860322581,3.816129032
"32",2.756129032,3.148064516,2.124193548,0.987916667,3.87047619,0.802903226,3.757096774
"33",2.194333333,3.741,2.382333333,3.240666667,3.872,1.108,3.812333333
"34",2.277741935,3.654193548,2.459032258,3.409032258,3.871935484,3.377741935,3.964516129
"35",2.336666667,3.554333333,2.717,3.348666667,3.87,3.335333333,4.042333333
"36",2.451612903,3.797916667,2.933225806,3.622258065,3.87,3.734516129,4.082903226
"37",2.54483871,3.982142857,3.052580645,3.806129032,3.87,3.949032258,4.125833333
"38",3.043928571,3.7975,3.110357143,3.939642857,3.868571429,4.223571429,3.972608696
"39",3.017096774,3.738064516,3.051290323,3.793,3.863225806,3.931290323,4.035806452
"40",3.059333333,3.608333333,2.930333333,3.64,3.844666667,3.731333333,4.046666667
"41",3.527419355,3.541290323,2.638064516,3.739677419,3.97516129,3.919032258,4.17516129
"42",3.937241379,3.317333333,2.149666667,3.382666667,3.908333333,3.524,4.553333333
"43",4.021612903,3.122580645,1.790967742,2.701612903,3.467333333,2.738064516,4.166774194
"44",4.019310345,3.013225806,1.55,1.692222222,3.42,1.170967742,3.901290323
"45",2.102105263,3.153,1.679285714,1.54,3.42,0.661666667,3.993666667
"46",2.022258065,3.156774194,2.376451613,2.4560714285,3.42,0.564516129,4.146774194
"47",2.044,3.248333333,2.706,3.372142857,3.42,0.56,4.323
"48",1.980967742,3.595769231,2.752258065,3.691935484,3.42,3.151935484,4.381612903
"49",1.936774194,3.671290323,2.996774194,3.69,3.428387097,3.771935484,4.003225806
"50",1.944827586,4.323448276,3.342413793,4.579130435,3.508275862,4.405172414,3.941724138
"51",2.280967742,3.710322581,2.831935484,3.650967742,3.450322581,3.723225806,4.14483871
"52",2.116666667,3.409333333,2.405666667,3.278,3.573666667,3.329,4.118333333
"53",3.357419355,3.07516129,2.085483871,3.10516129,3.696451613,3.019032258,4.263548387
