Date,G40,G42,G43,G44,G45,G46,G47,G48,G49,G51,G53,G65
Jan-00,3.938064516,,4.830967742,1.380645161,4.13,3.326451613,3.266451613,2.903636364,2.579354839,4.456774194,4.669354839,4.177096774
Feb-00,3.95,,4.835862069,1.38,4.120689655,3.374827586,3.332592593,2.877142857,2.623103448,4.493103448,4.745769231,4.182068966
Mar-00,3.872580645,,4.547096774,1.38,3.939032258,3.262258065,3.213225806,2.871290323,2.561290323,4.521111111,4.646451613,4.227419355
Apr-00,3.892,,3.925666667,1.38,3.678,3.106666667,3.042333333,2.687666667,2.361,4.496333333,4.515,4.302666667
May-00,4.33,,5.302258065,2.486129032,3.471935484,2.926774194,2.846129032,2.569354839,2.136129032,4.428387097,4.308709677,4.159677419
Jun-00,4.515,,5.566666667,2.852,3.262,2.766666667,2.706,2.416333333,1.943333333,4.157,3.956666667,4.114666667
Jul-00,4.716129032,,5.368709677,2.657419355,3.177419355,2.762580645,2.56483871,2.362580645,1.826774194,3.492258065,3.828064516,3.867741935
Aug-00,4.224516129,,5.201290323,1.839032258,2.93483871,2.531935484,2.345483871,2.200645161,1.542258065,3.311290323,3.447419355,3.683870968
Sep-00,3.505862069,,3.367241379,1.34,2.921333333,2.548518519,2.330333333,2.181333333,1.543333333,3.301724138,3.380344828,3.710666667
Oct-00,,,,,3.095483871,,2.488709677,2.361612903,1.765806452,,,3.840967742
Nov-00,,,,,3.453333333,,3.153333333,2.603666667,2.079,,,4.022666667
Dec-00,,,,,3.946129032,3.152,3.14483871,2.903548387,2.501612903,,,4.081481481
Jan-01,,,,,4.337096774,3.447096774,3.717419355,3.361935484,3.286774194,,,4.12625
Feb-01,,,,,4.278571429,3.900714286,3.801785714,3.543571429,3.313928571,,,4.02
Mar-01,,,,,3.61,3.236451613,3.205806452,3.089032258,2.842258065,,,4.243225806
Apr-01,,,,,3.586666667,3.031333333,2.845,2.691333333,2.246333333,,,4.376
May-01,,3.673333333,,,3.273225806,2.827419355,2.650322581,2.622580645,2.103548387,,,4.882258065
Jun-01,,3.755333333,,,2.851333333,2.408666667,2.296,2.302666667,1.632666667,,,4.353333333
Jul-01,,3.982580645,,,2.94516129,2.393548387,2.350645161,2.298064516,1.593548387,,,3.9
Aug-01,,4.110322581,,,3.058064516,2.600322581,2.438709677,2.41516129,1.747741935,,,3.560645161
Sep-01,3.57,4.171333333,3.28,1.71,3.035333333,2.557333333,2.487,2.425666667,1.816333333,,4.16,3.654666667
Oct-01,3.577419355,4.089354839,2.988709677,1.708387097,2.908387097,2.698666667,2.467419355,2.453225806,1.843225806,,3.894193548,3.905806452
Nov-01,3.597,3.775333333,2.954666667,1.7,2.668,2.452777778,2.283666667,2.352333333,1.574,3.586818182,3.526666667,4.035666667
