Ravenna,Canaday steam plant,Kearney 4,HAYES CENTER 1NW,GRAND ISLAND CENTRAL NE REGIONAL AP,Gothenberg,North Platte Exp Farm,David City
30.1,29.9,28.4,31.2,28.1,42.1,41.6,27.8
36.3,35.9,33.4,35.8,34.7,48.7,47.8,37
43.9,43.4,41.6,43.4,42.5,55.1,54.1,44.5
52,49.8,48.6,50.6,50.1,65.4,65.7,51.8
64.7,62.7,62.2,63.3,64.1,75.6,75.5,66.1
70.4,69.3,68.4,68.9,70.3,83.3,84.1,71
76,75.3,74.9,77.3,76.1,88.5,90,75.3
78.5,76.5,76.8,77.9,77.7,91.5,92.6,77.8
66.4,65.1,65.4,65.6,67.5,80.3,79.6,68.4
54.8,53.2,53.5,53.8,55.1,65.6,65.3,56.5
27.1,29,27.8,29.7,29.1,37.1,37.4,28.7
18.4,20.7,17.5,23.5,17.1,30.4,30.4,12.9
28.1,27.9,26.7,31.1,26.3,39.9,39.8,24.5
22.5,23.5,21.8,25.8,20.6,32.8,32.6,18.8
36.7,35.4,34,37.7,35.6,47.4,47.3,33.5
53.4,51.4,52.3,51.3,53.7,65,62,52.4
62.3,60.8,61.4,60.9,62.9,71.7,70.5,61.7
71.5,69.3,69.6,70.5,71.6,82.7,81.1,69.3
79,77.9,78,79.8,79,91.6,91.1,77.5
74.6,74.1,73.5,76.1,75.9,87.2,87,76
64.9,64.3,63.5,65.2,64.8,76.4,76.3,63.9
54.5,51.8,51.1,52.6,52.9,66,65.5,51.8
45.6,44.7,45.1,44.6,46.8,55.6,56.5,47
32.3,32.5,31.3,32.7,32.1,42.5,42.6,30.2
31.6,31,30.3,31.4,30.5,43.2,43.5,27.7
32,31.4,30.3,33.8,31.4,49,47.9,28
33,31.7,30.9,33.8,32,45.8,42.8,30.2
53.8,51.8,49.7,51.2,51.7,66.7,64.1,50.4
59,56.8,56.7,57.5,58.8,70.3,68.8,57.5
76.2,75.4,75.8,76.1,76.9,89,88.9,75
79.3,78.7,78.2,79.6,80.2,93.1,93.1,78.9
75.1,73.7,73.8,75.1,74.8,86.8,87.4,73.5
67.4,65.7,64.7,65.6,66.5,78.5,78.1,65.9
47.4,46.4,45.8,45.8,45.9,53.5,54.4,44.2
39.3,40.8,38.6,39.3,39.1,51.3,50.2,35
32.9,35.1,32.1,34.8,33,46,45.1,30.7
26.9,29.4,26.1,30.3,25.3,41.5,41.4,22.4
26.3,27.6,25.5,27.4,25.8,37.1,37.9,22
41.7,40.2,37.8,40.8,41.3,56.4,52.3,37.9
52.7,52.6,51.2,51.4,51.9,63.2,62.6,51
59,59,57.8,58.5,58.7,70.7,68.9,57.5
68.1,68.1,67.7,67.6,68.4,79.1,76.9,67.1
77.9,77,76.6,78.4,77.9,90.8,91.4,76.2
76.2,75.2,75.9,76.8,76.7,88.8,90,76
63.4,63.7,61.5,63,62.4,75.8,77.1,60.7
56.5,56.5,54.9,57.3,55.9,70.2,71.3,53.8
37.9,37.2,35.6,37.1,37.4,48.1,46.2,34.8
31.5,33,31.2,31.8,31.5,42,42.1,29.2
23.3,23.9,21.8,27.2,21.9,36.1,37.7,18.7
25.6,25.8,23.3,29,24,38.9, ,21.7
45.5,44.7,42.9,44.5,44.5,58.1,56.2,41.8
53.7,49.8,50.4,50,52.9,65.7,63.4,51.7
64.1,61.8,61.6,61.5,63.5,76,74.4,61.3
67.6,67.1,67,66.4,68.1,78.3,77.3,66.3
73.3,72.1,71.6,72.4,72.2,85.1,83.5,71.3
70.3,69,69,69.7,70.5,81.8,81,69
69.2,68,67.7,67.5,69.4,81,79.7,69.2
54.4,53.6,53,53.8,53.3,64.6,64,53.5
40.4,40.4,39.6,38.6,40,49.7,49.5,40.2
